,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
nu[4],0.52887,0.0022379,0.138261,0.145234,0.337723,0.507177,0.787188,3828.38,5184.1,36.8585,1.00014
"pi[1,1]",0.629418,0.00282634,0.174762,0.177739,0.323837,0.634835,0.902691,3716.19,3571.83,35.7783,1.00119
"pi[1,2]",0.629418,0.00282634,0.174762,0.177739,0.323837,0.634835,0.902691,3716.19,3571.83,35.7783,1.00119
"pi[1,3]",0.64197,0.000854766,0.0684063,0.0639303,0.530357,0.641437,0.753041,6477.02,5609.61,62.3588,0.999918
"pi[1,4]",0.64197,0.000854766,0.0684063,0.0639303,0.530357,0.641437,0.753041,6477.02,5609.61,62.3588,0.999918
"pi[2,1]",0.749503,0.00227424,0.144792,0.134926,0.478604,0.771304,0.94432,3644.52,3595.2,35.0883,1.0012
"pi[2,2]",0.749503,0.00227424,0.144792,0.134926,0.478604,0.771304,0.94432,3644.52,3595.2,35.0883,1.0012
"pi[2,3]",0.926569,0.000601159,0.0402836,0.0423923,0.856035,0.929182,0.9873,4356.8,5398.55,41.946,1.00026
"pi[2,4]",0.926569,0.000601159,0.0402836,0.0423923,0.856035,0.929182,0.9873,4356.8,5398.55,41.946,1.00026
"pi[3,1]",0.800381,0.00245757,0.141182,0.117033,0.519452,0.832359,0.964635,3169.53,4222.17,30.5153,1.00036
"pi[3,2]",0.800381,0.00245757,0.141182,0.117033,0.519452,0.832359,0.964635,3169.53,4222.17,30.5153,1.00036
"pi[3,3]",0.931331,0.000532031,0.0363169,0.0375681,0.866983,0.934671,0.985966,4568.22,5761.86,43.9814,1.00037
"pi[3,4]",0.931331,0.000532031,0.0363169,0.0375681,0.866983,0.934671,0.985966,4568.22,5761.86,43.9814,1.00037
"pi[4,1]",0.670269,0.00307154,0.171387,0.159988,0.34738,0.688633,0.917441,3201.64,3311.97,30.8244,1.00138
"pi[4,2]",0.670269,0.00307154,0.171387,0.159988,0.34738,0.688633,0.917441,3201.64,3311.97,30.8244,1.00138
"pi[4,3]",0.762538,0.000987303,0.064483,0.0615526,0.659631,0.761392,0.87155,4388.52,4718.08,42.2514,1.00039
"pi[4,4]",0.762538,0.000987303,0.064483,0.0615526,0.659631,0.761392,0.87155,4388.52,4718.08,42.2514,1.00039
"pi[5,1]",0.505444,0.00356858,0.19709,0.200616,0.167347,0.508279,0.834137,3013.3,3430.07,29.0111,1.00137
"pi[5,2]",0.505444,0.00356858,0.19709,0.200616,0.167347,0.508279,0.834137,3013.3,3430.07,29.0111,1.00137
"pi[5,3]",0.796769,0.00115455,0.0718369,0.0690576,0.681989,0.795746,0.922474,3887.04,5734.97,37.4233,1.00069
"pi[5,4]",0.796769,0.00115455,0.0718369,0.0690576,0.681989,0.795746,0.922474,3887.04,5734.97,37.4233,1.00069
"pi[6,1]",0.491837,0.00554556,0.181614,0.180976,0.175099,0.496419,0.7915,1101.61,1897.64,10.6059,1.00398
"pi[6,2]",0.319746,0.00281847,0.0998078,0.0944331,0.158883,0.316798,0.490137,1280.95,2230.24,12.3326,1.00417
"pi[6,3]",0.491837,0.00554556,0.181614,0.180976,0.175099,0.496419,0.7915,1101.61,1897.64,10.6059,1.00398
"pi[6,4]",0.319746,0.00281847,0.0998078,0.0944331,0.158883,0.316798,0.490137,1280.95,2230.24,12.3326,1.00417
"pi[7,1]",0.458667,0.00602418,0.179233,0.180964,0.15203,0.463259,0.751838,911.01,1958.31,8.77093,1.00312
"pi[7,2]",0.310363,0.00284569,0.0975562,0.0913532,0.15783,0.304629,0.483386,1235.67,2166.4,11.8967,1.00264
"pi[7,3]",0.458667,0.00602418,0.179233,0.180964,0.15203,0.463259,0.751838,911.01,1958.31,8.77093,1.00312
"pi[7,4]",0.310363,0.00284569,0.0975562,0.0913532,0.15783,0.304629,0.483386,1235.67,2166.4,11.8967,1.00264
"pi[8,1]",0.401691,0.00474396,0.167732,0.165746,0.142347,0.390811,0.700726,1335.95,2230.34,12.8621,1.00214
"pi[8,2]",0.474201,0.00244729,0.0972429,0.0917466,0.305543,0.478114,0.62833,1641.29,2489.03,15.8019,1.00261
"pi[8,3]",0.401691,0.00474396,0.167732,0.165746,0.142347,0.390811,0.700726,1335.95,2230.34,12.8621,1.00214
"pi[8,4]",0.474201,0.00244729,0.0972429,0.0917466,0.305543,0.478114,0.62833,1641.29,2489.03,15.8019,1.00261
"pi[9,1]",0.271435,0.00505729,0.149976,0.151759,0.0461658,0.268244,0.531247,811.615,2089.26,7.81398,1.00552
"pi[9,2]",0.103144,0.00248806,0.0693623,0.0708062,0.0123138,0.0916616,0.23222,859.074,2610.4,8.27091,1.00499
