,R_hat
beta2[145],1.00121
beta1[35],1.0012
beta12[105],1.00119
beta2[41],1.00118
beta2[44],1.00118
beta12[39],1.00118
beta12[14],1.00116
beta12[149],1.00116
beta0[171],1.00114
beta1[83],1.00113
beta1[51],1.00112
beta2[7],1.00112
beta2[38],1.00112
beta0[96],1.00112
beta1[191],1.00112
beta12[37],1.00112
beta0[181],1.00111
beta2[56],1.00111
beta12[80],1.00111
beta1[50],1.00111
beta1[62],1.00111
beta0[160],1.0011
beta1[144],1.0011
beta12[135],1.00109
beta2[131],1.00109
beta1[68],1.00109
beta12[198],1.00109
beta12[162],1.00109
beta1[179],1.00108
beta2[62],1.00108
beta2[46],1.00108
beta12[163],1.00108
beta0[184],1.00105
beta2[122],1.00105
beta1[159],1.00105
beta12[142],1.00105
beta12[50],1.00105
beta1[65],1.00105
beta1[38],1.00104
beta2[21],1.00103
beta0[113],1.00103
beta0[179],1.00103
beta12[32],1.00102
beta1[106],1.00102
beta2[105],1.00102
beta2[199],1.00102
beta2[123],1.00101
beta12[165],1.00101
beta2[133],1.001
beta0[47],1.001
beta1[155],1.00099
beta2[1],1.00099
beta0[71],1.00098
beta12[107],1.00098
beta2[109],1.00097
beta1[184],1.00097
beta2[164],1.00097
beta2[194],1.00097
beta2[55],1.00097
beta0[185],1.00097
beta1[44],1.00096
beta0[102],1.00096
beta1[131],1.00095
beta0[41],1.00095
beta2[143],1.00095
beta12[191],1.00095
beta0[122],1.00094
beta0[54],1.00094
beta2[140],1.00093
beta0[116],1.00093
beta12[112],1.00093
beta12[167],1.00092
beta1[197],1.00092
beta0[77],1.00092
beta12[65],1.00092
beta12[175],1.00091
beta12[181],1.00091
beta2[160],1.00091
beta2[36],1.00091
beta12[147],1.00091
beta12[54],1.00091
beta1[126],1.00091
beta0[195],1.0009
beta0[29],1.0009
beta0[38],1.0009
beta2[192],1.00089
beta12[60],1.00089
beta0[162],1.00088
beta2[29],1.00087
beta2[74],1.00087
beta12[38],1.00087
beta12[157],1.00087
beta1[116],1.00087
beta12[129],1.00087
beta0[180],1.00086
beta12[151],1.00086
beta1[112],1.00086
beta2[35],1.00085
beta0[64],1.00085
beta2[147],1.00085
beta1[127],1.00085
beta12[44],1.00085
beta0[165],1.00084
beta1[183],1.00084
beta1[89],1.00084
beta2[130],1.00084
beta0[154],1.00083
beta1[47],1.00083
beta0[49],1.00083
beta0[66],1.00083
beta0[30],1.00082
beta2[68],1.00082
beta0[110],1.00082
beta2[166],1.00082
beta1[76],1.00082
beta1[69],1.00081
beta1[45],1.00081
beta2[176],1.00081
beta1[93],1.00081
beta2[88],1.00081
beta1[166],1.0008
beta1[64],1.0008
beta12[126],1.0008
beta12[170],1.00079
beta0[95],1.00079
beta12[132],1.00079
beta12[75],1.00079
beta2[8],1.00079
beta1[129],1.00079
beta2[162],1.00079
beta12[63],1.00079
beta2[39],1.00078
beta1[124],1.00078
beta1[152],1.00078
beta1[82],1.00077
beta1[145],1.00077
beta1[24],1.00077
beta12[16],1.00077
beta1[102],1.00076
beta12[123],1.00076
beta2[119],1.00076
beta0[105],1.00076
beta1[33],1.00075
beta0[62],1.00075
beta0[121],1.00074
beta2[22],1.00074
beta1[56],1.00074
beta0[93],1.00073
beta12[79],1.00073
beta0[79],1.00073
beta1[108],1.00073
beta0[157],1.00073
beta12[96],1.00073
beta1[193],1.00072
beta12[10],1.00072
beta2[63],1.00071
beta2[108],1.00071
beta12[122],1.00071
beta12[177],1.00071
beta1[137],1.00071
beta12[84],1.00071
beta0[145],1.0007
beta12[117],1.0007
beta1[78],1.0007
beta2[77],1.0007
beta12[89],1.0007
beta1[146],1.00069
beta2[71],1.00069
beta1[61],1.00069
beta2[125],1.00069
beta0[197],1.00068
beta12[91],1.00068
beta12[171],1.00068
beta0[176],1.00068
beta2[91],1.00067
beta0[70],1.00067
beta2[153],1.00067
beta2[12],1.00066
beta12[87],1.00066
beta12[71],1.00066
beta2[34],1.00065
beta0[48],1.00065
beta12[36],1.00065
beta0[163],1.00065
beta12[185],1.00065
beta12[46],1.00065
beta0[150],1.00064
beta0[200],1.00064
beta2[89],1.00064
beta12[47],1.00064
beta12[190],1.00064
beta0[188],1.00064
beta12[141],1.00064
beta12[3],1.00064
beta1[111],1.00063
beta1[3],1.00063
beta2[50],1.00063
beta12[172],1.00063
beta12[6],1.00063
beta12[193],1.00063
beta0[141],1.00063
beta2[174],1.00063
beta0[178],1.00062
beta2[18],1.00062
beta0[37],1.00062
beta1[14],1.00062
beta2[11],1.00061
beta2[177],1.00061
beta12[108],1.00061
beta0[114],1.00061
beta12[2],1.00061
beta1[142],1.00061
beta2[82],1.00061
beta2[138],1.00061
beta2[106],1.0006
beta12[73],1.0006
beta12[186],1.0006
beta0[131],1.0006
beta0[172],1.0006
beta1[147],1.0006
beta0[189],1.0006
beta0[138],1.00059
beta2[6],1.00059
beta12[42],1.00059
beta2[171],1.00059
beta12[94],1.00059
beta2[146],1.00058
beta1[103],1.00058
beta12[144],1.00058
beta0[199],1.00058
beta0[69],1.00057
beta2[70],1.00057
beta1[80],1.00057
beta1[55],1.00057
beta0[137],1.00056
beta2[116],1.00056
beta12[140],1.00056
beta12[119],1.00056
beta0[187],1.00056
beta2[94],1.00056
beta12[111],1.00055
beta0[57],1.00055
beta0[82],1.00055
beta12[106],1.00054
beta12[104],1.00054
beta0[68],1.00054
beta1[36],1.00054
beta2[191],1.00054
beta12[153],1.00054
beta0[146],1.00054
beta1[140],1.00053
beta2[134],1.00053
beta2[90],1.00053
beta1[25],1.00052
beta2[97],1.00052
beta0[103],1.00052
beta12[20],1.00052
beta2[51],1.00052
beta0[125],1.00052
beta2[200],1.00052
beta12[66],1.00051
beta2[190],1.00051
beta0[143],1.00051
beta1[99],1.00051
beta12[164],1.00051
beta2[60],1.00051
beta12[100],1.00051
beta0[65],1.00051
beta2[124],1.0005
beta12[51],1.0005
beta2[61],1.0005
beta0[39],1.0005
beta2[136],1.0005
beta1[117],1.00049
beta2[114],1.00049
beta0[32],1.00049
beta0[106],1.00049
beta2[75],1.00049
beta0[120],1.00048
beta12[41],1.00048
beta0[58],1.00048
beta0[92],1.00048
beta1[92],1.00048
beta1[94],1.00048
beta2[161],1.00048
beta0[61],1.00048
beta2[48],1.00048
beta2[49],1.00048
beta12[195],1.00047
beta12[11],1.00047
beta0[167],1.00046
beta2[107],1.00046
beta12[194],1.00046
beta12[4],1.00046
beta0[56],1.00046
beta2[86],1.00046
beta1[158],1.00046
beta0[190],1.00046
beta0[123],1.00045
beta12[148],1.00045
beta1[138],1.00045
beta1[90],1.00045
beta2[154],1.00045
beta0[76],1.00045
beta12[7],1.00044
beta12[121],1.00044
beta12[74],1.00044
beta2[158],1.00044
beta12[156],1.00044
beta12[158],1.00044
beta2[163],1.00044
beta12[120],1.00043
beta12[77],1.00043
beta2[179],1.00043
beta1[96],1.00043
beta12[13],1.00043
beta2[81],1.00043
beta2[170],1.00043
beta1[149],1.00042
beta0[161],1.00042
beta2[80],1.00041
beta0[174],1.00041
beta12[82],1.00041
beta12[180],1.00041
beta1[43],1.00041
beta12[17],1.0004
beta0[44],1.0004
beta1[123],1.0004
beta2[168],1.0004
beta0[101],1.00039
beta2[103],1.00039
beta1[42],1.00039
beta2[117],1.00038
beta2[52],1.00038
beta12[150],1.00037
beta2[165],1.00037
beta1[41],1.00037
beta1[175],1.00037
beta2[9],1.00037
beta1[39],1.00037
beta1[177],1.00037
beta2[53],1.00036
beta0[67],1.00036
beta12[155],1.00036
beta1[79],1.00036
beta0[111],1.00036
beta1[4],1.00036
beta0[173],1.00036
beta1[53],1.00036
beta1[54],1.00035
beta12[134],1.00035
beta12[137],1.00035
beta12[183],1.00035
beta12[133],1.00035
beta12[48],1.00035
beta0[193],1.00034
beta2[196],1.00034
beta2[93],1.00034
beta12[199],1.00034
