,R_hat
"prob_resp_class[60,3]",
"prob_resp_class[60,4]",
"prob_resp_class[61,1]",
"prob_resp_class[61,2]",
"prob_resp_class[61,3]",
"prob_resp_class[61,4]",
"prob_resp_class[62,1]",
"prob_resp_class[62,2]",
"prob_resp_class[62,3]",
"prob_resp_class[62,4]",
"prob_resp_class[63,1]",
"prob_resp_class[63,2]",
"prob_resp_class[63,3]",
"prob_resp_class[63,4]",
"prob_resp_class[64,1]",
"prob_resp_class[64,2]",
"prob_resp_class[64,3]",
"prob_resp_class[64,4]",
"prob_resp_class[65,1]",
"prob_resp_class[65,2]",
"prob_resp_class[65,3]",
"prob_resp_class[65,4]",
"prob_resp_class[66,1]",
"prob_resp_class[66,2]",
"prob_resp_class[66,3]",
"prob_resp_class[66,4]",
"prob_resp_class[67,1]",
"prob_resp_class[67,2]",
"prob_resp_class[67,3]",
"prob_resp_class[67,4]",
"prob_resp_class[68,1]",
"prob_resp_class[68,2]",
"prob_resp_class[68,3]",
"prob_resp_class[68,4]",
"prob_resp_class[69,1]",
"prob_resp_class[69,2]",
"prob_resp_class[69,3]",
"prob_resp_class[69,4]",
"prob_resp_class[70,1]",
"prob_resp_class[70,2]",
"prob_resp_class[70,3]",
"prob_resp_class[70,4]",
"prob_resp_class[71,1]",
"prob_resp_class[71,2]",
"prob_resp_class[71,3]",
"prob_resp_class[71,4]",
"prob_resp_class[72,1]",
"prob_resp_class[72,2]",
"prob_resp_class[72,3]",
"prob_resp_class[72,4]",
"prob_resp_class[73,1]",
"prob_resp_class[73,2]",
"prob_resp_class[73,3]",
"prob_resp_class[73,4]",
"prob_resp_class[74,1]",
"prob_resp_class[74,2]",
"prob_resp_class[74,3]",
"prob_resp_class[74,4]",
"prob_resp_class[75,1]",
"prob_resp_class[75,2]",
"prob_resp_class[75,3]",
"prob_resp_class[75,4]",
"prob_resp_class[76,1]",
"prob_resp_class[76,2]",
"prob_resp_class[76,3]",
"prob_resp_class[76,4]",
"prob_resp_class[77,1]",
"prob_resp_class[77,2]",
"prob_resp_class[77,3]",
"prob_resp_class[77,4]",
"prob_resp_class[78,1]",
"prob_resp_class[78,2]",
"prob_resp_class[78,3]",
"prob_resp_class[78,4]",
"prob_resp_class[79,1]",
"prob_resp_class[79,2]",
"prob_resp_class[79,3]",
"prob_resp_class[79,4]",
"prob_resp_class[80,1]",
"prob_resp_class[80,2]",
"prob_resp_class[80,3]",
"prob_resp_class[80,4]",
"prob_resp_class[81,1]",
"prob_resp_class[81,2]",
"prob_resp_class[81,3]",
"prob_resp_class[81,4]",
"prob_resp_class[82,1]",
"prob_resp_class[82,2]",
"prob_resp_class[82,3]",
"prob_resp_class[82,4]",
"prob_resp_class[83,1]",
"prob_resp_class[83,2]",
"prob_resp_class[83,3]",
"prob_resp_class[83,4]",
"prob_resp_class[84,1]",
"prob_resp_class[84,2]",
"prob_resp_class[84,3]",
"prob_resp_class[84,4]",
"prob_resp_class[85,1]",
"prob_resp_class[85,2]",
"prob_resp_class[85,3]",
"prob_resp_class[85,4]",
"prob_resp_class[86,1]",
"prob_resp_class[86,2]",
"prob_resp_class[86,3]",
"prob_resp_class[86,4]",
"prob_resp_class[87,1]",
"prob_resp_class[87,2]",
"prob_resp_class[87,3]",
"prob_resp_class[87,4]",
"prob_resp_class[88,1]",
"prob_resp_class[88,2]",
"prob_resp_class[88,3]",
"prob_resp_class[88,4]",
"prob_resp_class[89,1]",
"prob_resp_class[89,2]",
"prob_resp_class[89,3]",
"prob_resp_class[89,4]",
"prob_resp_class[90,1]",
"prob_resp_class[90,2]",
"prob_resp_class[90,3]",
"prob_resp_class[90,4]",
"prob_resp_class[91,1]",
"prob_resp_class[91,2]",
"prob_resp_class[91,3]",
"prob_resp_class[91,4]",
"prob_resp_class[92,1]",
"prob_resp_class[92,2]",
"prob_resp_class[92,3]",
"prob_resp_class[92,4]",
"prob_resp_class[93,1]",
"prob_resp_class[93,2]",
"prob_resp_class[93,3]",
"prob_resp_class[93,4]",
"prob_resp_class[94,1]",
"prob_resp_class[94,2]",
"prob_resp_class[94,3]",
"prob_resp_class[94,4]",
"prob_resp_class[95,1]",
"prob_resp_class[95,2]",
"prob_resp_class[95,3]",
"prob_resp_class[95,4]",
"prob_resp_class[96,1]",
"prob_resp_class[96,2]",
"prob_resp_class[96,3]",
"prob_resp_class[96,4]",
"prob_resp_class[97,1]",
"prob_resp_class[97,2]",
"prob_resp_class[97,3]",
"prob_resp_class[97,4]",
"prob_resp_class[98,1]",
"prob_resp_class[98,2]",
"prob_resp_class[98,3]",
"prob_resp_class[98,4]",
"prob_resp_class[99,1]",
"prob_resp_class[99,2]",
"prob_resp_class[99,3]",
"prob_resp_class[99,4]",
"prob_resp_class[100,1]",
"prob_resp_class[100,2]",
"prob_resp_class[100,3]",
"prob_resp_class[100,4]",
"prob_resp_class[101,1]",
"prob_resp_class[101,2]",
"prob_resp_class[101,3]",
"prob_resp_class[101,4]",
"prob_resp_class[102,1]",
"prob_resp_class[102,2]",
"prob_resp_class[102,3]",
"prob_resp_class[102,4]",
"prob_resp_class[103,1]",
"prob_resp_class[103,2]",
"prob_resp_class[103,3]",
"prob_resp_class[103,4]",
"prob_resp_class[104,1]",
"prob_resp_class[104,2]",
"prob_resp_class[104,3]",
"prob_resp_class[104,4]",
"prob_resp_class[105,1]",
"prob_resp_class[105,2]",
"prob_resp_class[105,3]",
"prob_resp_class[105,4]",
"prob_resp_class[106,1]",
"prob_resp_class[106,2]",
"prob_resp_class[106,3]",
"prob_resp_class[106,4]",
"prob_resp_class[107,1]",
"prob_resp_class[107,2]",
"prob_resp_class[107,3]",
"prob_resp_class[107,4]",
"prob_resp_class[108,1]",
"prob_resp_class[108,2]",
"prob_resp_class[108,3]",
"prob_resp_class[108,4]",
"prob_resp_class[109,1]",
"prob_resp_class[109,2]",
"prob_resp_class[109,3]",
"prob_resp_class[109,4]",
"prob_resp_class[110,1]",
"prob_resp_class[110,2]",
"prob_resp_class[110,3]",
"prob_resp_class[110,4]",
"prob_resp_class[111,1]",
"prob_resp_class[111,2]",
"prob_resp_class[111,3]",
"prob_resp_class[111,4]",
"prob_resp_class[112,1]",
"prob_resp_class[112,2]",
"prob_resp_class[112,3]",
"prob_resp_class[112,4]",
"prob_resp_class[113,1]",
"prob_resp_class[113,2]",
"prob_resp_class[113,3]",
"prob_resp_class[113,4]",
"prob_resp_class[114,1]",
"prob_resp_class[114,2]",
"prob_resp_class[114,3]",
"prob_resp_class[114,4]",
"prob_resp_class[115,1]",
"prob_resp_class[115,2]",
"prob_resp_class[115,3]",
"prob_resp_class[115,4]",
"prob_resp_class[116,1]",
"prob_resp_class[116,2]",
"prob_resp_class[116,3]",
"prob_resp_class[116,4]",
"prob_resp_class[117,1]",
"prob_resp_class[117,2]",
"prob_resp_class[117,3]",
"prob_resp_class[117,4]",
"prob_resp_class[118,1]",
"prob_resp_class[118,2]",
"prob_resp_class[118,3]",
"prob_resp_class[118,4]",
"prob_resp_class[119,1]",
"prob_resp_class[119,2]",
"prob_resp_class[119,3]",
"prob_resp_class[119,4]",
"prob_resp_class[120,1]",
"prob_resp_class[120,2]",
"prob_resp_class[120,3]",
"prob_resp_class[120,4]",
"prob_resp_class[121,1]",
"prob_resp_class[121,2]",
"prob_resp_class[121,3]",
"prob_resp_class[121,4]",
"prob_resp_class[122,1]",
"prob_resp_class[122,2]",
"prob_resp_class[122,3]",
"prob_resp_class[122,4]",
"prob_resp_class[123,1]",
"prob_resp_class[123,2]",
"prob_resp_class[123,3]",
"prob_resp_class[123,4]",
"prob_resp_class[124,1]",
"prob_resp_class[124,2]",
"prob_resp_class[124,3]",
"prob_resp_class[124,4]",
"prob_resp_class[125,1]",
"prob_resp_class[125,2]",
"prob_resp_class[125,3]",
"prob_resp_class[125,4]",
"prob_resp_class[126,1]",
"prob_resp_class[126,2]",
"prob_resp_class[126,3]",
"prob_resp_class[126,4]",
"prob_resp_class[127,1]",
"prob_resp_class[127,2]",
"prob_resp_class[127,3]",
"prob_resp_class[127,4]",
"prob_resp_class[128,1]",
"prob_resp_class[128,2]",
"prob_resp_class[128,3]",
"prob_resp_class[128,4]",
"prob_resp_class[129,1]",
"prob_resp_class[129,2]",
"prob_resp_class[129,3]",
"prob_resp_class[129,4]",
"prob_resp_class[130,1]",
"prob_resp_class[130,2]",
"prob_resp_class[130,3]",
"prob_resp_class[130,4]",
"prob_resp_class[131,1]",
"prob_resp_class[131,2]",
"prob_resp_class[131,3]",
"prob_resp_class[131,4]",
"prob_resp_class[132,1]",
"prob_resp_class[132,2]",
"prob_resp_class[132,3]",
"prob_resp_class[132,4]",
"prob_resp_class[133,1]",
"prob_resp_class[133,2]",
"prob_resp_class[133,3]",
"prob_resp_class[133,4]",
"prob_resp_class[134,1]",
"prob_resp_class[134,2]",
"prob_resp_class[134,3]",
"prob_resp_class[134,4]",
"prob_resp_class[135,1]",
"prob_resp_class[135,2]",
"prob_resp_class[135,3]",
"prob_resp_class[135,4]",
"prob_resp_class[136,1]",
"prob_resp_class[136,2]",
"prob_resp_class[136,3]",
"prob_resp_class[136,4]",
"prob_resp_class[137,1]",
"prob_resp_class[137,2]",
"prob_resp_class[137,3]",
"prob_resp_class[137,4]",
"prob_resp_class[138,1]",
"prob_resp_class[138,2]",
"prob_resp_class[138,3]",
"prob_resp_class[138,4]",
"prob_resp_class[139,1]",
"prob_resp_class[139,2]",
"prob_resp_class[139,3]",
"prob_resp_class[139,4]",
"prob_resp_class[140,1]",
"prob_resp_class[140,2]",
"prob_resp_class[140,3]",
"prob_resp_class[140,4]",
"prob_resp_class[141,1]",
"prob_resp_class[141,2]",
"prob_resp_class[141,3]",
"prob_resp_class[141,4]",
"prob_resp_class[142,1]",
"prob_resp_class[142,2]",
"prob_resp_class[142,3]",
"prob_resp_class[142,4]",
"prob_resp_class[143,1]",
"prob_resp_class[143,2]",
"prob_resp_class[143,3]",
"prob_resp_class[143,4]",
"prob_resp_class[144,1]",
"prob_resp_class[144,2]",
"prob_resp_class[144,3]",
"prob_resp_class[144,4]",
"prob_resp_class[145,1]",
"prob_resp_class[145,2]",
"prob_resp_class[145,3]",
"prob_resp_class[145,4]",
"prob_resp_class[146,1]",
"prob_resp_class[146,2]",
"prob_resp_class[146,3]",
"prob_resp_class[146,4]",
"prob_resp_class[147,1]",
"prob_resp_class[147,2]",
"prob_resp_class[147,3]",
"prob_resp_class[147,4]",
"prob_resp_class[148,1]",
"prob_resp_class[148,2]",
"prob_resp_class[148,3]",
"prob_resp_class[148,4]",
"prob_resp_class[149,1]",
"prob_resp_class[149,2]",
"prob_resp_class[149,3]",
"prob_resp_class[149,4]",
"prob_resp_class[150,1]",
"prob_resp_class[150,2]",
"prob_resp_class[150,3]",
"prob_resp_class[150,4]",
"prob_resp_class[151,1]",
"prob_resp_class[151,2]",
"prob_resp_class[151,3]",
"prob_resp_class[151,4]",
"prob_resp_class[152,1]",
"prob_resp_class[152,2]",
"prob_resp_class[152,3]",
"prob_resp_class[152,4]",
"prob_resp_class[153,1]",
"prob_resp_class[153,2]",
"prob_resp_class[153,3]",
"prob_resp_class[153,4]",
"prob_resp_class[154,1]",
"prob_resp_class[154,2]",
"prob_resp_class[154,3]",
"prob_resp_class[154,4]",
"prob_resp_class[155,1]",
"prob_resp_class[155,2]",
"prob_resp_class[155,3]",
"prob_resp_class[155,4]",
"prob_resp_class[156,1]",
"prob_resp_class[156,2]",
"prob_resp_class[156,3]",
"prob_resp_class[156,4]",
"prob_resp_class[157,1]",
"prob_resp_class[157,2]",
"prob_resp_class[157,3]",
"prob_resp_class[157,4]",
"prob_resp_class[158,1]",
"prob_resp_class[158,2]",
"prob_resp_class[158,3]",
"prob_resp_class[158,4]",
"prob_resp_class[159,1]",
"prob_resp_class[159,2]",
"prob_resp_class[159,3]",
"prob_resp_class[159,4]",
"prob_resp_class[160,1]",
"prob_resp_class[160,2]",
"prob_resp_class[160,3]",
"prob_resp_class[160,4]",
"prob_resp_class[161,1]",
"prob_resp_class[161,2]",
"prob_resp_class[161,3]",
"prob_resp_class[161,4]",
"prob_resp_class[162,1]",
"prob_resp_class[162,2]",
"prob_resp_class[162,3]",
"prob_resp_class[162,4]",
"prob_resp_class[163,1]",
"prob_resp_class[163,2]",
"prob_resp_class[163,3]",
"prob_resp_class[163,4]",
"prob_resp_class[164,1]",
"prob_resp_class[164,2]",
"prob_resp_class[164,3]",
"prob_resp_class[164,4]",
"prob_resp_class[165,1]",
"prob_resp_class[165,2]",
"prob_resp_class[165,3]",
"prob_resp_class[165,4]",
"prob_resp_class[166,1]",
"prob_resp_class[166,2]",
"prob_resp_class[166,3]",
"prob_resp_class[166,4]",
"prob_resp_class[167,1]",
"prob_resp_class[167,2]",
"prob_resp_class[167,3]",
"prob_resp_class[167,4]",
"prob_resp_class[168,1]",
"prob_resp_class[168,2]",
"prob_resp_class[168,3]",
"prob_resp_class[168,4]",
"prob_resp_class[169,1]",
"prob_resp_class[169,2]",
"prob_resp_class[169,3]",
"prob_resp_class[169,4]",
"prob_resp_class[170,1]",
"prob_resp_class[170,2]",
"prob_resp_class[170,3]",
"prob_resp_class[170,4]",
"prob_resp_class[171,1]",
"prob_resp_class[171,2]",
"prob_resp_class[171,3]",
"prob_resp_class[171,4]",
"prob_resp_class[172,1]",
"prob_resp_class[172,2]",
"prob_resp_class[172,3]",
"prob_resp_class[172,4]",
"prob_resp_class[173,1]",
"prob_resp_class[173,2]",
"prob_resp_class[173,3]",
"prob_resp_class[173,4]",
"prob_resp_class[174,1]",
"prob_resp_class[174,2]",
"prob_resp_class[174,3]",
"prob_resp_class[174,4]",
"prob_resp_class[175,1]",
"prob_resp_class[175,2]",
"prob_resp_class[175,3]",
"prob_resp_class[175,4]",
"prob_resp_class[176,1]",
"prob_resp_class[176,2]",
"prob_resp_class[176,3]",
"prob_resp_class[176,4]",
"prob_resp_class[177,1]",
"prob_resp_class[177,2]",
"prob_resp_class[177,3]",
"prob_resp_class[177,4]",
"prob_resp_class[178,1]",
"prob_resp_class[178,2]",
"prob_resp_class[178,3]",
"prob_resp_class[178,4]",
"prob_resp_class[179,1]",
"prob_resp_class[179,2]",
"prob_resp_class[179,3]",
"prob_resp_class[179,4]",
"prob_resp_class[180,1]",
"prob_resp_class[180,2]",
"prob_resp_class[180,3]",
"prob_resp_class[180,4]",
"prob_resp_class[181,1]",
"prob_resp_class[181,2]",
"prob_resp_class[181,3]",
"prob_resp_class[181,4]",
"prob_resp_class[182,1]",
"prob_resp_class[182,2]",
"prob_resp_class[182,3]",
"prob_resp_class[182,4]",
"prob_resp_class[183,1]",
"prob_resp_class[183,2]",
"prob_resp_class[183,3]",
"prob_resp_class[183,4]",
"prob_resp_class[184,1]",
"prob_resp_class[184,2]",
"prob_resp_class[184,3]",
"prob_resp_class[184,4]",
"prob_resp_class[185,1]",
"prob_resp_class[185,2]",
"prob_resp_class[185,3]",
"prob_resp_class[185,4]",
"prob_resp_class[186,1]",
"prob_resp_class[186,2]",
"prob_resp_class[186,3]",
"prob_resp_class[186,4]",
"prob_resp_class[187,1]",
"prob_resp_class[187,2]",
"prob_resp_class[187,3]",
"prob_resp_class[187,4]",
"prob_resp_class[188,1]",
"prob_resp_class[188,2]",
"prob_resp_class[188,3]",
"prob_resp_class[188,4]",
"prob_resp_class[189,1]",
"prob_resp_class[189,2]",
"prob_resp_class[189,3]",
"prob_resp_class[189,4]",
"prob_resp_class[190,1]",
"prob_resp_class[190,2]",
"prob_resp_class[190,3]",
"prob_resp_class[190,4]",
"prob_resp_class[191,1]",
"prob_resp_class[191,2]",
"prob_resp_class[191,3]",
"prob_resp_class[191,4]",
"prob_resp_class[192,1]",
"prob_resp_class[192,2]",
"prob_resp_class[192,3]",
"prob_resp_class[192,4]",
"prob_resp_class[193,1]",
"prob_resp_class[193,2]",
"prob_resp_class[193,3]",
"prob_resp_class[193,4]",
"prob_resp_class[194,1]",
"prob_resp_class[194,2]",
"prob_resp_class[194,3]",
"prob_resp_class[194,4]",
"prob_resp_class[195,1]",
"prob_resp_class[195,2]",
"prob_resp_class[195,3]",
"prob_resp_class[195,4]",
"prob_resp_class[196,1]",
"prob_resp_class[196,2]",
"prob_resp_class[196,3]",
"prob_resp_class[196,4]",
"prob_resp_class[197,1]",
"prob_resp_class[197,2]",
"prob_resp_class[197,3]",
"prob_resp_class[197,4]",
"prob_resp_class[198,1]",
"prob_resp_class[198,2]",
"prob_resp_class[198,3]",
"prob_resp_class[198,4]",
"prob_resp_class[199,1]",
"prob_resp_class[199,2]",
"prob_resp_class[199,3]",
"prob_resp_class[199,4]",
"prob_resp_class[200,1]",
"prob_resp_class[200,2]",
"prob_resp_class[200,3]",
"prob_resp_class[200,4]",
"prob_resp_attr[1,1]",
"prob_resp_attr[1,2]",
"prob_resp_attr[2,1]",
"prob_resp_attr[2,2]",
"prob_resp_attr[3,1]",
"prob_resp_attr[3,2]",
"prob_resp_attr[4,1]",
"prob_resp_attr[4,2]",
"prob_resp_attr[5,1]",
"prob_resp_attr[5,2]",
"prob_resp_attr[6,1]",
"prob_resp_attr[6,2]",
"prob_resp_attr[7,1]",
"prob_resp_attr[7,2]",
"prob_resp_attr[8,1]",
"prob_resp_attr[8,2]",
"prob_resp_attr[9,1]",
"prob_resp_attr[9,2]",
"prob_resp_attr[10,1]",
"prob_resp_attr[10,2]",
"prob_resp_attr[11,1]",
"prob_resp_attr[11,2]",
"prob_resp_attr[12,1]",
"prob_resp_attr[12,2]",
"prob_resp_attr[13,1]",
"prob_resp_attr[13,2]",
"prob_resp_attr[14,1]",
"prob_resp_attr[14,2]",
"prob_resp_attr[15,1]",
"prob_resp_attr[15,2]",
"prob_resp_attr[16,1]",
"prob_resp_attr[16,2]",
"prob_resp_attr[17,1]",
"prob_resp_attr[17,2]",
"prob_resp_attr[18,1]",
"prob_resp_attr[18,2]",
"prob_resp_attr[19,1]",
"prob_resp_attr[19,2]",
"prob_resp_attr[20,1]",
"prob_resp_attr[20,2]",
"prob_resp_attr[21,1]",
"prob_resp_attr[21,2]",
"prob_resp_attr[22,1]",
"prob_resp_attr[22,2]",
"prob_resp_attr[23,1]",
"prob_resp_attr[23,2]",
"prob_resp_attr[24,1]",
"prob_resp_attr[24,2]",
"prob_resp_attr[25,1]",
"prob_resp_attr[25,2]",
"prob_resp_attr[26,1]",
"prob_resp_attr[26,2]",
"prob_resp_attr[27,1]",
"prob_resp_attr[27,2]",
"prob_resp_attr[28,1]",
"prob_resp_attr[28,2]",
"prob_resp_attr[29,1]",
"prob_resp_attr[29,2]",
"prob_resp_attr[30,1]",
"prob_resp_attr[30,2]",
"prob_resp_attr[31,1]",
"prob_resp_attr[31,2]",
"prob_resp_attr[32,1]",
"prob_resp_attr[32,2]",
"prob_resp_attr[33,1]",
"prob_resp_attr[33,2]",
"prob_resp_attr[34,1]",
"prob_resp_attr[34,2]",
"prob_resp_attr[35,1]",
"prob_resp_attr[35,2]",
"prob_resp_attr[36,1]",
"prob_resp_attr[36,2]",
"prob_resp_attr[37,1]",
"prob_resp_attr[37,2]",
"prob_resp_attr[38,1]",
"prob_resp_attr[38,2]",
"prob_resp_attr[39,1]",
"prob_resp_attr[39,2]",
"prob_resp_attr[40,1]",
"prob_resp_attr[40,2]",
"prob_resp_attr[41,1]",
"prob_resp_attr[41,2]",
"prob_resp_attr[42,1]",
"prob_resp_attr[42,2]",
"prob_resp_attr[43,1]",
"prob_resp_attr[43,2]",
"prob_resp_attr[44,1]",
"prob_resp_attr[44,2]",
"prob_resp_attr[45,1]",
"prob_resp_attr[45,2]",
"prob_resp_attr[46,1]",
"prob_resp_attr[46,2]",
"prob_resp_attr[47,1]",
"prob_resp_attr[47,2]",
"prob_resp_attr[48,1]",
"prob_resp_attr[48,2]",
"prob_resp_attr[49,1]",
"prob_resp_attr[49,2]",
"prob_resp_attr[50,1]",
"prob_resp_attr[50,2]",
"prob_resp_attr[51,1]",
"prob_resp_attr[51,2]",
"prob_resp_attr[52,1]",
"prob_resp_attr[52,2]",
"prob_resp_attr[53,1]",
"prob_resp_attr[53,2]",
"prob_resp_attr[54,1]",
"prob_resp_attr[54,2]",
"prob_resp_attr[55,1]",
"prob_resp_attr[55,2]",
"prob_resp_attr[56,1]",
"prob_resp_attr[56,2]",
"prob_resp_attr[57,1]",
"prob_resp_attr[57,2]",
"prob_resp_attr[58,1]",
"prob_resp_attr[58,2]",
"prob_resp_attr[59,1]",
"prob_resp_attr[59,2]",
"prob_resp_attr[60,1]",
"prob_resp_attr[60,2]",
"prob_resp_attr[61,1]",
"prob_resp_attr[61,2]",
"prob_resp_attr[62,1]",
"prob_resp_attr[62,2]",
"prob_resp_attr[63,1]",
"prob_resp_attr[63,2]",
"prob_resp_attr[64,1]",
"prob_resp_attr[64,2]",
"prob_resp_attr[65,1]",
"prob_resp_attr[65,2]",
"prob_resp_attr[66,1]",
"prob_resp_attr[66,2]",
"prob_resp_attr[67,1]",
"prob_resp_attr[67,2]",
"prob_resp_attr[68,1]",
"prob_resp_attr[68,2]",
"prob_resp_attr[69,1]",
"prob_resp_attr[69,2]",
"prob_resp_attr[70,1]",
"prob_resp_attr[70,2]",
"prob_resp_attr[71,1]",
"prob_resp_attr[71,2]",
"prob_resp_attr[72,1]",
"prob_resp_attr[72,2]",
"prob_resp_attr[73,1]",
"prob_resp_attr[73,2]",
"prob_resp_attr[74,1]",
"prob_resp_attr[74,2]",
"prob_resp_attr[75,1]",
"prob_resp_attr[75,2]",
"prob_resp_attr[76,1]",
"prob_resp_attr[76,2]",
"prob_resp_attr[77,1]",
"prob_resp_attr[77,2]",
"prob_resp_attr[78,1]",
"prob_resp_attr[78,2]",
"prob_resp_attr[79,1]",
"prob_resp_attr[79,2]",
"prob_resp_attr[80,1]",
"prob_resp_attr[80,2]",
"prob_resp_attr[81,1]",
"prob_resp_attr[81,2]",
"prob_resp_attr[82,1]",
"prob_resp_attr[82,2]",
"prob_resp_attr[83,1]",
"prob_resp_attr[83,2]",
"prob_resp_attr[84,1]",
"prob_resp_attr[84,2]",
"prob_resp_attr[85,1]",
"prob_resp_attr[85,2]",
"prob_resp_attr[86,1]",
"prob_resp_attr[86,2]",
"prob_resp_attr[87,1]",
"prob_resp_attr[87,2]",
"prob_resp_attr[88,1]",
"prob_resp_attr[88,2]",
"prob_resp_attr[89,1]",
"prob_resp_attr[89,2]",
"prob_resp_attr[90,1]",
"prob_resp_attr[90,2]",
"prob_resp_attr[91,1]",
"prob_resp_attr[91,2]",
"prob_resp_attr[92,1]",
"prob_resp_attr[92,2]",
"prob_resp_attr[93,1]",
"prob_resp_attr[93,2]",
"prob_resp_attr[94,1]",
"prob_resp_attr[94,2]",
"prob_resp_attr[95,1]",
"prob_resp_attr[95,2]",
"prob_resp_attr[96,1]",
"prob_resp_attr[96,2]",
"prob_resp_attr[97,1]",
"prob_resp_attr[97,2]",
"prob_resp_attr[98,1]",
"prob_resp_attr[98,2]",
"prob_resp_attr[99,1]",
"prob_resp_attr[99,2]",
"prob_resp_attr[100,1]",
"prob_resp_attr[100,2]",
"prob_resp_attr[101,1]",
"prob_resp_attr[101,2]",
"prob_resp_attr[102,1]",
"prob_resp_attr[102,2]",
"prob_resp_attr[103,1]",
"prob_resp_attr[103,2]",
"prob_resp_attr[104,1]",
"prob_resp_attr[104,2]",
"prob_resp_attr[105,1]",
"prob_resp_attr[105,2]",
"prob_resp_attr[106,1]",
"prob_resp_attr[106,2]",
"prob_resp_attr[107,1]",
"prob_resp_attr[107,2]",
"prob_resp_attr[108,1]",
"prob_resp_attr[108,2]",
"prob_resp_attr[109,1]",
"prob_resp_attr[109,2]",
"prob_resp_attr[110,1]",
"prob_resp_attr[110,2]",
"prob_resp_attr[111,1]",
"prob_resp_attr[111,2]",
"prob_resp_attr[112,1]",
"prob_resp_attr[112,2]",
"prob_resp_attr[113,1]",
"prob_resp_attr[113,2]",
"prob_resp_attr[114,1]",
"prob_resp_attr[114,2]",
"prob_resp_attr[115,1]",
"prob_resp_attr[115,2]",
"prob_resp_attr[116,1]",
"prob_resp_attr[116,2]",
"prob_resp_attr[117,1]",
"prob_resp_attr[117,2]",
"prob_resp_attr[118,1]",
"prob_resp_attr[118,2]",
"prob_resp_attr[119,1]",
"prob_resp_attr[119,2]",
"prob_resp_attr[120,1]",
"prob_resp_attr[120,2]",
"prob_resp_attr[121,1]",
"prob_resp_attr[121,2]",
"prob_resp_attr[122,1]",
"prob_resp_attr[122,2]",
"prob_resp_attr[123,1]",
"prob_resp_attr[123,2]",
"prob_resp_attr[124,1]",
"prob_resp_attr[124,2]",
"prob_resp_attr[125,1]",
"prob_resp_attr[125,2]",
"prob_resp_attr[126,1]",
"prob_resp_attr[126,2]",
"prob_resp_attr[127,1]",
"prob_resp_attr[127,2]",
"prob_resp_attr[128,1]",
"prob_resp_attr[128,2]",
"prob_resp_attr[129,1]",
"prob_resp_attr[129,2]",
"prob_resp_attr[130,1]",
"prob_resp_attr[130,2]",
"prob_resp_attr[131,1]",
"prob_resp_attr[131,2]",
"prob_resp_attr[132,1]",
"prob_resp_attr[132,2]",
"prob_resp_attr[133,1]",
"prob_resp_attr[133,2]",
"prob_resp_attr[134,1]",
"prob_resp_attr[134,2]",
"prob_resp_attr[135,1]",
"prob_resp_attr[135,2]",
"prob_resp_attr[136,1]",
"prob_resp_attr[136,2]",
"prob_resp_attr[137,1]",
"prob_resp_attr[137,2]",
"prob_resp_attr[138,1]",
"prob_resp_attr[138,2]",
"prob_resp_attr[139,1]",
"prob_resp_attr[139,2]",
"prob_resp_attr[140,1]",
"prob_resp_attr[140,2]",
"prob_resp_attr[141,1]",
"prob_resp_attr[141,2]",
"prob_resp_attr[142,1]",
"prob_resp_attr[142,2]",
"prob_resp_attr[143,1]",
"prob_resp_attr[143,2]",
"prob_resp_attr[144,1]",
"prob_resp_attr[144,2]",
"prob_resp_attr[145,1]",
"prob_resp_attr[145,2]",
"prob_resp_attr[146,1]",
"prob_resp_attr[146,2]",
"prob_resp_attr[147,1]",
"prob_resp_attr[147,2]",
"prob_resp_attr[148,1]",
"prob_resp_attr[148,2]",
"prob_resp_attr[149,1]",
"prob_resp_attr[149,2]",
"prob_resp_attr[150,1]",
"prob_resp_attr[150,2]",
"prob_resp_attr[151,1]",
"prob_resp_attr[151,2]",
"prob_resp_attr[152,1]",
"prob_resp_attr[152,2]",
"prob_resp_attr[153,1]",
"prob_resp_attr[153,2]",
"prob_resp_attr[154,1]",
"prob_resp_attr[154,2]",
"prob_resp_attr[155,1]",
"prob_resp_attr[155,2]",
"prob_resp_attr[156,1]",
"prob_resp_attr[156,2]",
"prob_resp_attr[157,1]",
"prob_resp_attr[157,2]",
"prob_resp_attr[158,1]",
"prob_resp_attr[158,2]",
"prob_resp_attr[159,1]",
"prob_resp_attr[159,2]",
"prob_resp_attr[160,1]",
"prob_resp_attr[160,2]",
"prob_resp_attr[161,1]",
"prob_resp_attr[161,2]",
"prob_resp_attr[162,1]",
"prob_resp_attr[162,2]",
"prob_resp_attr[163,1]",
"prob_resp_attr[163,2]",
"prob_resp_attr[164,1]",
"prob_resp_attr[164,2]",
"prob_resp_attr[165,1]",
"prob_resp_attr[165,2]",
"prob_resp_attr[166,1]",
"prob_resp_attr[166,2]",
"prob_resp_attr[167,1]",
"prob_resp_attr[167,2]",
"prob_resp_attr[168,1]",
"prob_resp_attr[168,2]",
"prob_resp_attr[169,1]",
"prob_resp_attr[169,2]",
"prob_resp_attr[170,1]",
"prob_resp_attr[170,2]",
"prob_resp_attr[171,1]",
"prob_resp_attr[171,2]",
"prob_resp_attr[172,1]",
"prob_resp_attr[172,2]",
"prob_resp_attr[173,1]",
"prob_resp_attr[173,2]",
"prob_resp_attr[174,1]",
