,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[46,6]",0.487829,0.00354626,0.284023,0.368101,0.0483846,0.482378,0.930222,5269.74,3770.44,24.7946,1.00036
"prob_resp_class[46,7]",0.00417123,4.68312e-05,0.00472946,0.00279851,0.000196328,0.00267736,0.0132033,8056.16,4697.69,37.9049,1.00082
"prob_resp_class[46,8]",0.48656,0.00354761,0.284133,0.365663,0.0419609,0.49032,0.926025,5403.57,3849.89,25.4243,1.0003
"prob_resp_class[47,1]",0.59456,0.00163079,0.140385,0.143372,0.339584,0.606101,0.802016,7635.02,5266.73,35.9234,1.00083
"prob_resp_class[47,2]",0.0554261,0.000650984,0.0552979,0.0393614,0.00266517,0.0380874,0.164674,5116.27,3180.33,24.0725,1.00013
"prob_resp_class[47,3]",0.0932574,0.00084859,0.0674111,0.0606368,0.00986809,0.080379,0.222764,5256.57,3602.7,24.7326,1.00028
"prob_resp_class[47,4]",0.0904333,0.000731326,0.0601126,0.0527573,0.0168238,0.0774685,0.206597,5839.07,4075.45,27.4733,1.00026
"prob_resp_class[47,5]",0.00734461,9.26213e-05,0.00852832,0.00485045,0.000351376,0.00462871,0.0235274,6805.05,4536.35,32.0183,0.999795
"prob_resp_class[47,6]",0.0752216,0.000889236,0.0718065,0.0528337,0.00450269,0.0537225,0.21839,5737.44,4038.03,26.9952,1.00017
"prob_resp_class[47,7]",0.00755628,9.12975e-05,0.00893332,0.00494517,0.000321985,0.00465111,0.0243589,8022.29,4788.98,37.7456,1.00089
"prob_resp_class[47,8]",0.0762007,0.000969838,0.0742419,0.0532059,0.00418679,0.0534613,0.228652,5759.39,4704.79,27.0984,1.00083
"prob_resp_class[48,1]",0.0280369,0.000269906,0.0239426,0.0158679,0.00509193,0.021247,0.0741374,7915.4,5592.63,37.2426,1.00003
"prob_resp_class[48,2]",0.0321088,0.000498925,0.0399612,0.0208729,0.00111727,0.0188848,0.107408,5250.08,3439.76,24.7021,1.00079
"prob_resp_class[48,3]",0.0332192,0.000418097,0.0323939,0.0218876,0.00249459,0.0239888,0.0962684,4974.21,3321.99,23.4041,1.00028
"prob_resp_class[48,4]",0.351677,0.00203568,0.161617,0.173081,0.0978872,0.344401,0.626116,5824.87,3861.53,27.4065,1.00055
"prob_resp_class[48,5]",0.00228844,2.8592e-05,0.00262454,0.00148666,0.000103433,0.00140085,0.00752322,6885.34,3836.81,32.3961,0.999757
"prob_resp_class[48,6]",0.275144,0.00225236,0.185801,0.207186,0.0238193,0.250585,0.613588,5767.34,3775.89,27.1358,1.00039
"prob_resp_class[48,7]",0.00231629,2.72791e-05,0.00273165,0.00151733,0.00010207,0.00141456,0.00749854,8248.02,4502.56,38.8076,1.00098
"prob_resp_class[48,8]",0.275209,0.00237131,0.188254,0.205981,0.0205007,0.247156,0.6217,5893.54,4392.02,27.7296,1.0006
"prob_resp_class[49,1]",0.0227256,0.000202035,0.0183014,0.0129132,0.00432522,0.0178708,0.057594,8736.3,5856.37,41.1051,0.999765
"prob_resp_class[49,2]",0.0265515,0.000408342,0.0331246,0.0169078,0.000939138,0.0152767,0.0884973,5122.59,3397.92,24.1022,1.0008
"prob_resp_class[49,3]",0.0263511,0.000303185,0.0240156,0.0174096,0.00226663,0.0196764,0.072374,5141.68,3552.71,24.192,1.00026
"prob_resp_class[49,4]",0.300522,0.00193387,0.154748,0.161776,0.0754166,0.285312,0.581012,5713.28,3803.67,26.8815,1.001
"prob_resp_class[49,5]",0.00259781,3.20496e-05,0.0029753,0.00168649,0.000121325,0.00160595,0.00842271,7020.11,3781.45,33.0302,0.999842
"prob_resp_class[49,6]",0.309139,0.00245644,0.200708,0.233227,0.0281074,0.28365,0.667185,5672.57,3941.44,26.6899,1.00048
"prob_resp_class[49,7]",0.0026126,3.09941e-05,0.00306611,0.00173727,0.000117549,0.00163488,0.00839797,7933.98,4633.39,37.3301,1.00097
"prob_resp_class[49,8]",0.3095,0.00252043,0.203498,0.232398,0.0241226,0.28814,0.680323,6040.65,4387.07,28.4218,0.999933
"prob_resp_class[50,1]",0.850809,0.00107041,0.0930469,0.085326,0.677551,0.86689,0.969612,6434.74,3638.05,30.276,1.00011
"prob_resp_class[50,2]",0.00486568,6.1395e-05,0.00539971,0.0033051,0.000213842,0.00307566,0.0155368,5210.87,3179.68,24.5176,0.999989
"prob_resp_class[50,3]",0.133781,0.00107773,0.0920366,0.0842732,0.0159721,0.118051,0.30738,5825.87,3388.31,27.4112,1.00029
"prob_resp_class[50,4]",0.00770876,6.51623e-05,0.00568632,0.00453542,0.00140005,0.00634546,0.0185962,6207.19,3906.25,29.2054,1.00013
"prob_resp_class[50,5]",0.000882028,1.13154e-05,0.00104335,0.000575604,4.00787e-05,0.000544969,0.00285246,6847.78,4695.41,32.2194,0.999894
"prob_resp_class[50,6]",0.000530116,7.02308e-06,0.000569545,0.000356768,2.97423e-05,0.000353287,0.00164389,5851.11,4279.91,27.53,1.00032
"prob_resp_class[50,7]",0.000895002,1.0952e-05,0.00106147,0.000585965,3.87794e-05,0.000545298,0.00291468,7777.89,5028.45,36.5956,1.00099
"prob_resp_class[50,8]",0.000528288,7.15083e-06,0.000586741,0.000355345,2.73727e-05,0.000351508,0.00160279,6045.08,4843.2,28.4426,1.00029
"prob_resp_class[51,1]",0.0741154,0.000604971,0.0551163,0.0426564,0.0151957,0.0597967,0.182893,8751.87,5369.86,41.1783,1.00031
"prob_resp_class[51,2]",0.00513696,8.16446e-05,0.00668534,0.00318359,0.000179691,0.00285973,0.0172441,5089.27,3675.68,23.9454,1.00064
"prob_resp_class[51,3]",0.0826471,0.000778833,0.0650709,0.0557923,0.0083027,0.0673654,0.211866,5694.74,3513.42,26.7942,1.00053
"prob_resp_class[51,4]",0.0617926,0.00053077,0.0438537,0.0356737,0.0118394,0.0517229,0.145401,5862.56,3567.59,27.5838,1.00076
"prob_resp_class[51,5]",0.0477238,0.000514388,0.0481767,0.0330534,0.0026641,0.0323664,0.144511,7251.39,4143.54,34.1184,1.00001
"prob_resp_class[51,6]",0.341229,0.00256353,0.211635,0.258659,0.0315968,0.323408,0.70173,5750.31,3925.0,27.0557,1.00044
"prob_resp_class[51,7]",0.047749,0.00048303,0.047587,0.0338688,0.00260876,0.0332976,0.142605,7855.12,4380.94,36.959,1.00079
"prob_resp_class[51,8]",0.339606,0.0025704,0.210975,0.252088,0.0279028,0.328606,0.703091,6129.51,4278.09,28.8399,1.00005
"prob_resp_class[52,1]",0.195856,0.00138143,0.120842,0.10912,0.0478029,0.168512,0.436772,7489.5,5232.9,35.2387,1.00024
"prob_resp_class[52,2]",0.0174412,0.000262479,0.021396,0.0113536,0.000642164,0.0103502,0.0571372,5064.09,3469.3,23.827,1.00069
"prob_resp_class[52,3]",0.221016,0.00197599,0.149163,0.15347,0.0229401,0.195396,0.50339,4954.36,3556.06,23.3107,1.00023
"prob_resp_class[52,4]",0.205158,0.0014093,0.114906,0.115439,0.0454704,0.1889,0.419834,5780.61,3656.42,27.1982,1.00059
"prob_resp_class[52,5]",0.017004,0.000195743,0.0184767,0.0114729,0.000859563,0.0111197,0.0534147,6980.4,3750.28,32.8434,0.99984
"prob_resp_class[52,6]",0.162559,0.00153283,0.126978,0.121702,0.0120928,0.13455,0.41451,5776.92,4182.2,27.1809,1.00026
"prob_resp_class[52,7]",0.0172977,0.000193148,0.0192682,0.0117905,0.000837103,0.0112094,0.0536088,8393.98,4588.09,39.4944,1.00071
"prob_resp_class[52,8]",0.163667,0.00165855,0.130113,0.12229,0.0108181,0.132291,0.424868,5799.36,4411.79,27.2865,1.00053
"prob_resp_class[53,1]",0.696774,0.00135592,0.121525,0.117705,0.469787,0.712356,0.868982,8258.58,6051.8,38.8573,1.00005
"prob_resp_class[53,2]",0.0664527,0.000808502,0.0668093,0.0474062,0.00314748,0.0454471,0.19854,5027.59,3117.38,23.6553,1.0002
"prob_resp_class[53,3]",0.10978,0.000952942,0.0778283,0.0706906,0.0125313,0.0954067,0.255928,5503.22,3527.72,25.8931,1.00047
"prob_resp_class[53,4]",0.110282,0.000979221,0.0780627,0.0659953,0.0188976,0.0916035,0.262388,5730.69,4135.64,26.9634,1.00028
"prob_resp_class[53,5]",0.000719796,9.29366e-06,0.000857143,0.000467068,3.25649e-05,0.000440751,0.00234547,6832.72,4711.61,32.1485,0.999865
"prob_resp_class[53,6]",0.00759003,9.85775e-05,0.00809285,0.00502971,0.000414978,0.00504874,0.023236,5836.19,4185.86,27.4598,1.00031
"prob_resp_class[53,7]",0.000731903,8.9926e-06,0.000879262,0.000481959,3.1969e-05,0.000447765,0.00239096,7852.62,4647.66,36.9472,1.00092
"prob_resp_class[53,8]",0.00766908,0.000110255,0.00841932,0.00513362,0.000380853,0.00502382,0.023699,5697.18,4574.19,26.8057,1.00022
"prob_resp_class[54,1]",0.242643,0.00136665,0.121846,0.11853,0.0818078,0.222411,0.47377,7964.41,6060.7,37.4732,1.00022
"prob_resp_class[54,2]",0.00133188,1.92877e-05,0.00164939,0.000860985,4.72596e-05,0.000771602,0.00446466,5272.36,3539.52,24.8069,1.00025
"prob_resp_class[54,3]",0.0357836,0.000329598,0.0283824,0.0238765,0.0035427,0.0291818,0.0915954,5977.4,3475.85,28.1242,0.999994
"prob_resp_class[54,4]",0.00201521,1.87616e-05,0.00161509,0.00122649,0.000318372,0.00159703,0.00510402,6284.18,4041.02,29.5676,1.00036
"prob_resp_class[54,5]",0.216187,0.00162611,0.15773,0.162329,0.0178966,0.185373,0.514369,7540.86,4199.13,35.4804,1.00004
