,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"delta[6,5]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[6,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[6,7]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[6,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,1]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,2]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,3]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,4]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,5]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,6]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"delta[7,7]",0.0,,0.0,0.0,0.0,0.0,0.0,,,,
"delta[7,8]",1.0,,0.0,0.0,1.0,1.0,1.0,,,,
"pi[1,1]",0.199448,0.000676408,0.0784504,0.0772576,0.0857104,0.191344,0.342553,13044.1,5592.57,1833.32,1.00008
"pi[1,2]",0.199448,0.000676408,0.0784504,0.0772576,0.0857104,0.191344,0.342553,13044.1,5592.57,1833.32,1.00008
"pi[1,3]",0.199448,0.000676408,0.0784504,0.0772576,0.0857104,0.191344,0.342553,13044.1,5592.57,1833.32,1.00008
"pi[1,4]",0.199448,0.000676408,0.0784504,0.0772576,0.0857104,0.191344,0.342553,13044.1,5592.57,1833.32,1.00008
"pi[1,5]",0.798892,0.000676454,0.0783008,0.078492,0.65676,0.807257,0.914706,12928.8,5849.77,1817.12,1.00008
"pi[1,6]",0.798892,0.000676454,0.0783008,0.078492,0.65676,0.807257,0.914706,12928.8,5849.77,1817.12,1.00008
"pi[1,7]",0.798892,0.000676454,0.0783008,0.078492,0.65676,0.807257,0.914706,12928.8,5849.77,1817.12,1.00008
"pi[1,8]",0.798892,0.000676454,0.0783008,0.078492,0.65676,0.807257,0.914706,12928.8,5849.77,1817.12,1.00008
"pi[2,1]",0.198597,0.000736703,0.0771609,0.0775598,0.0863443,0.190445,0.337732,10341.6,5509.96,1453.5,1.00136
"pi[2,2]",0.800276,0.000684504,0.0776929,0.0784165,0.659772,0.808348,0.9124,12436.3,5416.33,1747.89,0.999876
"pi[2,3]",0.198597,0.000736703,0.0771609,0.0775598,0.0863443,0.190445,0.337732,10341.6,5509.96,1453.5,1.00136
"pi[2,4]",0.800276,0.000684504,0.0776929,0.0784165,0.659772,0.808348,0.9124,12436.3,5416.33,1747.89,0.999876
"pi[2,5]",0.198597,0.000736703,0.0771609,0.0775598,0.0863443,0.190445,0.337732,10341.6,5509.96,1453.5,1.00136
"pi[2,6]",0.800276,0.000684504,0.0776929,0.0784165,0.659772,0.808348,0.9124,12436.3,5416.33,1747.89,0.999876
"pi[2,7]",0.198597,0.000736703,0.0771609,0.0775598,0.0863443,0.190445,0.337732,10341.6,5509.96,1453.5,1.00136
